Equipment Name;Equipment ID;Path Length;Lieu Path;ID Path
"6221 A";101252;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6221";"6676>6682>6684>6713>7243"
"6222 A";101253;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6222";"6676>6682>6684>6713>7244"
"6223 A";101254;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6223";"6676>6682>6684>6713>7245"
"6307 A";101237;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6307";"6676>6682>6684>6713>7246"
"6307 B";101238;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6307";"6676>6682>6684>6713>7246"
"6307 C";101239;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6307";"6676>6682>6684>6713>7246"
"6314";101240;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6314";"6676>6682>6684>6713>7247"
"6315";101242;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6315";"6676>6682>6684>6713>7248"
"6316";101243;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6316";"6676>6682>6684>6713>7249"
"6317";101244;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6317";"6676>6682>6684>6713>7250"
"6318";101245;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6318";"6676>6682>6684>6713>7251"
"6319";101246;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6319";"6676>6682>6684>6713>7252"
"6320";101247;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6320";"6676>6682>6684>6713>7253"
"6321";101248;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6321";"6676>6682>6684>6713>7254"
"6322";101249;4;"US Open>Arthur Ashe Zone>Arthur Ashe Stadium>Ashe Level 6>Rm 6322";"6676>6682>6684>6713>7255"
"A";100900;5;"US Open>International TV Compound>Int'l Broadcast Building>JBAVT-2-108>RACK 3>Box 4";"6676>7119>7120>7147>7155>7182"
"A";100323;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 1 (???????)";"6676>6724>6998>6999>7001>7003"
"A";100335;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 2";"6676>6724>6998>6999>7001>7004"
"A";100349;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 3";"6676>6724>6998>6999>7001>7005"
"A";100363;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 4";"6676>6724>6998>6999>7001>7006"
"A";100310;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>AVT 7202.2>Box 1";"6676>6724>6998>6999>7000>7002"
"A";100269;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.2>Box 1";"6676>6724>6962>6963>6980>6986"
"A";100215;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 1";"6676>6724>6962>6963>6979>6981"
"A";100226;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 2";"6676>6724>6962>6963>6979>6982"
"A";100240;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 3";"6676>6724>6962>6963>6979>6983"
"A";100182;5;"US Open>Outer Courts>Rm 11202>Room 11202>AVT 11202.2>JBA Box 1";"6676>6724>6962>6963>6964>6965"
"A";100192;5;"US Open>Outer Courts>Rm 11202>Room 11202>AVT 11202.2>JBA Box 2";"6676>6724>6962>6963>6964>6966"
"A";100253;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 4";"6676>6724>6962>6963>6979>6984"
"A";100153;3;"US Open>Outer Courts>Court 10>JBB 10.1 S";"6676>6724>6932>6948"
"AA - AB";101180;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"AC- AD";101182;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"AE - AF";101181;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"AG - AH";101183;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"AJ - AK";101184;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"AL - AM";101185;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"B";100157;3;"US Open>Outer Courts>Court 10>JBB 10.1 S";"6676>6724>6932>6948"
"B";100254;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 4";"6676>6724>6962>6963>6979>6984"
"B";100334;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 1 (???????)";"6676>6724>6998>6999>7001>7003"
"B";100193;5;"US Open>Outer Courts>Rm 11202>Room 11202>AVT 11202.2>JBA Box 2";"6676>6724>6962>6963>6964>6966"
"B";100183;5;"US Open>Outer Courts>Rm 11202>Room 11202>AVT 11202.2>JBA Box 1";"6676>6724>6962>6963>6964>6965"
"B";100241;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 3";"6676>6724>6962>6963>6979>6983"
"B";100227;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 2";"6676>6724>6962>6963>6979>6982"
"B";100216;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 1";"6676>6724>6962>6963>6979>6981"
"B";100270;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.2>Box 1";"6676>6724>6962>6963>6980>6986"
"B";100311;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>AVT 7202.2>Box 1";"6676>6724>6998>6999>7000>7002"
"B";100364;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 4";"6676>6724>6998>6999>7001>7006"
"B";100350;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 3";"6676>6724>6998>6999>7001>7005"
"B";100336;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 2";"6676>6724>6998>6999>7001>7004"
"B";100901;5;"US Open>International TV Compound>Int'l Broadcast Building>JBAVT-2-108>RACK 3>Box 4";"6676>7119>7120>7147>7155>7182"
"BA - BB";101186;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"BC - BD";101187;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"BE - BF";101188;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"BG - BH";101189;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"BJ - BK";101190;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"BL - BM";101191;4;"US Open>ZONE JBAVT-1>Double Stack CER>Double Stack CER>Double Stack Rack 2";"6676>6678>7218>7219>7217"
"C";100902;5;"US Open>International TV Compound>Int'l Broadcast Building>JBAVT-2-108>RACK 3>Box 4";"6676>7119>7120>7147>7155>7182"
"C";100337;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 2";"6676>6724>6998>6999>7001>7004"
"C";100352;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 3";"6676>6724>6998>6999>7001>7005"
"C";100365;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>BC 7202.3>Box 4";"6676>6724>6998>6999>7001>7006"
"C";100312;5;"US Open>Outer Courts>Bldg 7 AVT 7202>AVT 7202>AVT 7202.2>Box 1";"6676>6724>6998>6999>7000>7002"
"C";100271;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.2>Box 1";"6676>6724>6962>6963>6980>6986"
"C";100217;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 1";"6676>6724>6962>6963>6979>6981"
"C";100228;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 2";"6676>6724>6962>6963>6979>6982"
"C";100242;5;"US Open>Outer Courts>Rm 11202>Room 11202>BC - 11202.1>Box 3";"6676>6724>6962>6963>6979>6983"
"C";100184;5;"US Open>Outer Courts>Rm 11202>Room 11202>AVT 11202.2>JBA Box 1";"6676>6724>6962>6963>6964>6965"
"C";100194;5;"US Open>Outer Courts>Rm 11202>Room 11202>AVT 11202.2>JBA Box 2";"6676>6724>6962>6963>6964>6966"
